"year","age","male","prop_remitted","educ","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1982,24,1,0.350953067,6,0.0950252,10.62133,0.2796,0.24365,0.13776
1982,28,1,0.353413847,6,0.0950252,10.62133,0.2796,0.24365,0.13776
1977,35,1,0.381067441,0,0.0553382,10.20359,0.2831,0.34075,0.1494673
1985,21,0,0.400591464,4,0.1106764,10.62133,0.2796,0.24365,0.137792
1986,24,1,0.368922931,7,0.1196199,10.62133,0.2796,0.24365,0.1390484
1986,30,0,0.235233337,2,0.1196199,10.62133,0.2796,0.24365,0.1390484
1975,20,1,0.48994284,6,0.0458357,10.20359,0.2831,0.34075,0.1475543
1981,24,1,0.370971752,6,0.0894354,10.62133,0.2796,0.24365,0.1362066
1987,22,1,0.408091239,8,0.1274455,10.62133,0.2796,0.24365,0.1367292
1972,34,1,0.388681444,3,0.0346562,10.20359,0.2831,0.34075,0.1565455
1987,18,1,0.362767021,6,0.1274455,10.62133,0.2796,0.24365,0.1367292
1983,24,0,0.373769615,6,0.1006149,10.62133,0.2796,0.24365,0.1393506
1979,24,1,0.451209068,5,0.0659586,10.20359,0.2831,0.34075,0.1456347
1984,18,1,0.396775018,6,0.1073225,10.62133,0.2796,0.24365,0.138887
1985,17,1,0.386040743,6,0.1106764,10.62133,0.2796,0.24365,0.137792
1980,30,1,0.416438149,6,0.0771381,10.62133,0.2796,0.24365,0.1373002
1986,56,0,0.396734711,0,0.1196199,10.62133,0.2796,0.24365,0.1390484
1978,22,1,0.431292013,6,0.059251,10.20359,0.2831,0.34075,0.1494865
1983,23,0,0.320843146,6,0.1006149,10.62133,0.2796,0.24365,0.1393506
1976,19,1,0.351157367,6,0.0508664,10.20359,0.2831,0.34075,0.1482917
1979,23,0,0.345568457,6,0.0659586,10.20359,0.2831,0.34075,0.1456347
1978,20,1,0.376229885,6,0.059251,10.20359,0.2831,0.34075,0.1494865
1985,20,1,0.324244165,6,0.1106764,10.62133,0.2796,0.24365,0.137792
1981,21,1,0.312343456,3,0.0894354,10.62133,0.2796,0.24365,0.1362066
1983,17,1,0.308468504,6,0.1006149,10.62133,0.2796,0.24365,0.1393506
1985,17,1,0.333835655,6,0.1106764,10.62133,0.2796,0.24365,0.137792
1987,20,1,0.312130476,10,0.1274455,10.62133,0.2796,0.24365,0.1367292
1970,20,1,0.38736289,6,0.0307434,10.20359,0.2831,0.34075,0.1469026
1972,20,1,0.450921834,6,0.0346562,10.20359,0.2831,0.34075,0.1565455
1982,24,1,0.30572273,6,0.0950252,10.62133,0.2796,0.24365,0.13776
1980,23,1,0.422290709,2,0.0771381,10.62133,0.2796,0.24365,0.1373002
1980,23,1,0.367166559,4,0.0771381,10.62133,0.2796,0.24365,0.1373002
1980,17,1,0.409538642,5,0.0771381,10.62133,0.2796,0.24365,0.1373002
1973,21,0,0.479400036,9,0.038569,10.20359,0.2831,0.34075,0.1562987
1974,49,0,0.43386828,2,0.0408049,10.20359,0.2831,0.34075,0.1487976
1968,40,1,0.414975031,0,0.0262717,9.952278,0.3014,0.5274,0.1454793
1979,17,1,0.433241311,6,0.0659586,10.20359,0.2831,0.34075,0.1456347
1987,27,1,0.293190263,6,0.1274455,10.62133,0.2796,0.24365,0.1367292
1976,21,1,0.427156421,3,0.0508664,10.20359,0.2831,0.34075,0.1482917
1973,20,0,0.431056735,6,0.038569,10.20359,0.2831,0.34075,0.1562987
1975,58,1,0.444836231,4,0.0458357,10.20359,0.2831,0.34075,0.1475543
1977,19,0,0.464661372,6,0.0553382,10.20359,0.2831,0.34075,0.1494673
1987,39,1,0.355826602,6,0.1274455,10.62133,0.2796,0.24365,0.1367292
1983,31,1,0.408424046,4,0.1006149,10.62133,0.2796,0.24365,0.1393506
1975,18,1,0.378252562,6,0.0458357,10.20359,0.2831,0.34075,0.1475543
1978,33,1,0.409850501,6,0.059251,10.20359,0.2831,0.34075,0.1494865
1979,32,1,0.398255186,3,0.0659586,10.20359,0.2831,0.34075,0.1456347
1981,35,1,0.451640386,4,0.0894354,10.62133,0.2796,0.24365,0.1362066
1981,31,1,0.426123455,4,0.0894354,10.62133,0.2796,0.24365,0.1362066
1981,26,1,0.46879047,4,0.0894354,10.62133,0.2796,0.24365,0.1362066
1983,32,1,0.362432644,13,0.1006149,10.62133,0.2796,0.24365,0.1393506
1987,21,1,0.351004442,8,0.1274455,10.62133,0.2796,0.24365,0.1367292
1987,19,1,0.350258632,6,0.1274455,10.62133,0.2796,0.24365,0.1367292
1978,22,1,0.536826037,6,0.059251,10.20359,0.2831,0.34075,0.1494865
1978,20,1,0.409510201,6,0.059251,10.20359,0.2831,0.34075,0.1494865
1980,17,0,0.37534101,6,0.0771381,10.62133,0.2796,0.24365,0.1373002
1980,15,1,0.456865729,6,0.0771381,10.62133,0.2796,0.24365,0.1373002
1980,19,0,0.330705545,6,0.0771381,10.62133,0.2796,0.24365,0.1373002
1984,25,1,0.38573514,6,0.1073225,10.62133,0.2796,0.24365,0.138887
1979,22,0,0.406776845,12,0.0659586,10.20359,0.2831,0.34075,0.1456347
1980,19,1,0.427642158,3,0.0771381,10.62133,0.2796,0.24365,0.1373002
